policyID,eq_site_limit,hu_site_limit,fl_site_limit,tiv_2011,eq_site_deductible
119736,498960,498960,498960,498960,0
448094,1322376.3,1322376.3,1322376.3,1322376.3,0
206893,190724.4,190724.4,190724.4,190724.4,0
333743,0,79520.76,0,79520.76,0
172534,0,254281.5,0,254281.5,0
785275,0,515035.62,0,515035.62,0
995932,0,19260000,0,19260000,0
223488,328500,328500,328500,328500,0
433512,315000,315000,315000,315000,0
142071,705600,705600,705600,705600,14112
253816,831498.3,831498.3,831498.3,831498.3,0
894922,0,24059.09,0,24059.09,0
422834,0,48115.94,0,48115.94,0
582721,0,28869.12,0,28869.12,0
842700,0,56135.64,0,56135.64,0
874333,0,48115.94,0,48115.94,0
580146,0,48115.94,0,48115.94,0
456149,0,80192.49,0,80192.49,0
767862,0,48115.94,0,48115.94,0
353022,0,60946.79,0,60946.79,0
367814,0,28869.12,0,28869.12,0
671392,0,13410000,0,13410000,0
772887,0,1669113.93,0,1669113.93,0
983122,0,179562.23,0,179562.23,0
934215,0,177744.16,0,177744.16,0
385951,0,17757.58,0,17757.58,0
716332,0,130129.87,0,130129.87,0
751262,0,42854.77,0,42854.77,0
633663,0,785.58,0,785.58,0
105851,0,170361.91,0,170361.91,0
710400,0,1430.89,0,1430.89,0
703001,0,129913.27,0,129913.27,0
352792,0,366285.62,0,366285.62,0
717603,0,22512.61,0,22512.61,0
937659,0,9246.6,0,9246.6,0
294022,0,96164.64,0,96164.64,0
410500,0,11095.92,0,11095.92,0
524433,218475,218475,218475,218475,0
779298,1400904,1400904,1400904,1400904,0
491831,4365,4365,4365,4365,0
814637,4365,4365,4365,4365,0
737515,39789,39789,39789,39789,0
222653,24867,24867,24867,24867,0
788543,213876,213876,213876,213876,0
691681,69435,69435,69435,69435,0
368807,14922,14922,14922,14922,0
174002,165546,165546,165546,165546,0
198760,72837,72837,72837,72837,0
831395,72837,72837,72837,72837,0
305698,19440,19440,19440,19440,0
515722,9945,9945,9945,9945,0
415582,0,255878.61,0,255878.61,0
783533,0,153527.17,0,153527.17,0
640802,0,255878.61,0,255878.61,0
403866,0,102351.45,0,102351.45,0
828788,0,155489.66,0,155489.66,0
751490,0,137233.8,0,137233.8,0
972562,0,123596.05,0,123596.05,0
367541,0,107111.11,0,107111.11,0
481360,0,96309.32,0,96309.32,0
920232,0,104031.7,0,104031.7,0
727659,338944.5,338944.5,338944.5,338944.5,0
471817,272349,272349,272349,272349,0
983043,129690,129690,129690,129690,0
578286,123210,123210,123210,123210,0
347276,0,3698.64,0,3698.64,0
477786,2115760.5,2115760.5,0,2115760.5,0
265907,0,93548.58,0,93548.58,0
107560,0,1037311.14,0,1037311.14,0
908183,0,15463.3,0,15463.3,0
356024,0,13893.35,0,13893.35,0
575299,0,316618.23,0,316618.23,0
790478,0,54834.66,0,54834.66,0
801776,0,295269.11,0,295269.11,0
291781,0,723734.17,0,723734.17,0
537286,0,1741572,0,1741572,0
289305,135450,135450,135450,135450,0
697409,60300,60300,60300,60300,0
633944,22500,22500,22500,22500,0
963511,0,34212.42,0,34212.42,0
729649,0,460128.2,0,460128.2,0
862584,0,32169.69,0,32169.69,0
371891,0,50550.75,0,50550.75,0
785595,42300,42300,42300,42300,0
567696,0,10171.26,0,10171.26,0
219025,0,155342.88,0,155342.88,0
447216,0,3698.64,0,3698.64,0
305141,0,4623.3,0,4623.3,0
625575,0,33287.76,0,33287.76,0
262109,0,21267.18,0,21267.18,0
228457,0,729556.74,0,729556.74,0
622799,0,350446.14,0,350446.14,0
233271,0,2135964.6,0,2135964.6,0
932950,0,4623.3,0,4623.3,0
641952,0,2469639.6,0,2469639.6,0
796260,0,914073.3,0,914073.3,0
301822,0,3042940.5,0,3042940.5,0
559927,0,234997.65,0,234997.65,0
224400,0,912600,0,912600,0
123936,0,1920744.9,0,1920744.9,0
333818,0,455754.6,0,455754.6,0
254323,0,1552693.95,0,1552693.95,0
247444,0,8910,0,8910,0
882598,0,398968.2,0,398968.2,0
386918,0,4500,0,4500,0
497337,0,31071.6,0,31071.6,0
526844,0,4956125.85,0,4956125.85,0
623400,0,40500,0,40500,0
826170,0,135868.99,0,135868.99,0
185483,0,36784.23,0,36784.23,0
920003,0,1086940.9,0,1086940.9,0
274246,0,16767.17,0,16767.17,0
423636,0,1404900,0,1404900,0
970906,0,4696520.5,0,4696520.5,0
227898,0,67892.48,0,67892.48,0
525138,0,86056.32,0,86056.32,0
923627,0,67892.48,0,67892.48,0
619743,0,67892.48,0,67892.48,0
910727,0,86056.32,0,86056.32,0
363647,0,67892.48,0,67892.48,0
512519,0,101009.36,0,101009.36,0
904304,0,67892.48,0,67892.48,0
835349,0,67892.48,0,67892.48,0
891725,0,86056.32,0,86056.32,0
923503,0,86056.32,0,86056.32,0
292347,0,132603.34,0,132603.34,0
363828,0,132603.34,0,132603.34,0
110490,0,91764.15,0,91764.15,0
480733,0,457854.5,0,457854.5,0
993346,0,385480.82,0,385480.82,0
934992,0,213596.46,0,213596.46,0
645841,0,1051338.42,0,1051338.42,0
747846,0,6472.62,0,6472.62,0
482457,0,159041.52,0,159041.52,0
574787,0,12945.24,0,12945.24,0
831418,0,29589.12,0,29589.12,0
968562,0,12945.24,0,12945.24,0
576324,29061,29061,29061,29061,0
290435,48087,48087,48087,48087,0
526086,128628,128628,128628,128628,0
119823,128628,128628,128628,128628,0
497414,128628,128628,128628,128628,0
340883,4968,4968,4968,4968,0
892551,157005,157005,157005,157005,0
670595,459,459,459,459,0
194101,459,459,459,459,0
167200,1062,1062,1062,1062,0
139064,2304,2304,2304,2304,0
846636,1476,1476,1476,1476,0
310177,185040,185040,185040,185040,0
865452,0,11095.92,0,11095.92,0
783429,0,8321.94,0,8321.94,0
878060,0,199726.56,0,199726.56,0
935342,0,118356.48,0,118356.48,0
456376,0,17568.54,0,17568.54,0
363001,0,147945.6,0,147945.6,0
478864,0,724933.44,0,724933.44,0
600402,0,8284485.6,0,8284485.6,0
483983,438498,438498,0,438498,0
991615,0,99960.9,0,99960.9,0
644573,0,669692.78,0,669692.78,0
853278,0,240539.39,0,240539.39,0
100658,0,331518.28,0,331518.28,0
433115,0,5919.86,0,5919.86,0
760337,0,77426.73,0,77426.73,0
884738,0,765763.8,0,765763.8,0
610102,0,7532014.45,0,7532014.45,0
830823,0,963962.79,0,963962.79,0
618364,0,121066.57,0,121066.57,0
712563,0,70964.84,0,70964.84,0
493030,0,755749,0,755749,0
188150,0,2162232,0,2162232,0
589642,0,615141.68,0,615141.68,0
846109,0,135000,0,135000,0
399079,0,161748,0,161748,0
680135,0,164484,0,164484,0
621379,0,170532,0,170532,0
606710,0,181980,0,181980,0
443319,0,181980,0,181980,0
228591,0,186012,0,186012,0
721610,0,192348,0,192348,0
507395,0,197604,0,197604,0
213399,0,198468,0,198468,0
579400,0,198612,0,198612,0
509951,0,200052,0,200052,0
930798,0,201276,0,201276,0
729247,0,207324,0,207324,0
288344,0,208836,0,208836,0
275351,0,212436,0,212436,0
976690,0,218052,0,218052,0
507111,0,218412,0,218412,0
547458,0,221076,0,221076,0
827732,0,226764,0,226764,0
229489,0,237132,0,237132,0
175251,0,239652,0,239652,0
590043,0,245052,0,245052,0
476037,0,245052,0,245052,0
674960,0,257868,0,257868,0
743790,0,6381518.4,0,6381518.4,0
817283,0,15390000,0,15390000,0
201980,235696.5,235696.5,235696.5,235696.5,0
351505,18000,18000,18000,18000,0
798806,1772074.8,1772074.8,1772074.8,1772074.8,0
153643,95922,95922,95922,95922,0
683653,20763,20763,20763,20763,0
475264,0,16560000,0,16560000,0
912944,0,582759.1,0,582759.1,0
945134,0,2244.53,0,2244.53,0
219959,0,196396.18,0,196396.18,0
793504,0,21500.33,0,21500.33,0
450423,0,74091.86,0,74091.86,0
505178,0,86863.23,0,86863.23,0
408688,0,796134.02,0,796134.02,0
477759,0,298522.2,0,298522.2,0
882441,0,23118.64,0,23118.64,0
727602,0,63407.91,0,63407.91,0
313226,0,285728.39,0,285728.39,0
337027,0,9016.27,0,9016.27,0
649251,0,80915.23,0,80915.23,0
142564,0,28898.3,0,28898.3,0
197782,0,1505741.49,0,1505741.49,0
709787,0,53078.59,0,53078.59,0
655065,0,162952.72,0,162952.72,0
176778,0,2261249.55,0,2261249.55,0
559179,0,1363101.75,0,1363101.75,0
698071,0,295716.54,0,295716.54,0
642950,0,392231.24,0,392231.24,0
477240,0,192917.17,0,192917.17,0
672348,0,168339.59,0,168339.59,0
922844,0,316029.52,0,316029.52,0
948580,0,151505.63,0,151505.63,0
364552,0,280565.98,0,280565.98,0
561601,0,460128.2,0,460128.2,0
584749,0,324000,0,324000,0
601327,212850,212850,212850,212850,0
302578,135000,135000,135000,135000,0
756585,94284,94284,94284,94284,0
627591,6300,6300,6300,6300,0
663563,1248407.1,1248407.1,0,1248407.1,0
108959,0,114170.34,0,114170.34,0
951069,0,498344.66,0,498344.66,0
490641,0,910.22,0,910.22,0
443968,0,3195.34,0,3195.34,0
433688,0,172157.99,0,172157.99,0
168578,945000,945000,945000,945000,0
294375,76500,76500,76500,76500,0
902110,76500,76500,76500,76500,0
279816,431726.4,431726.4,0,431726.4,0
994565,0,11767.98,0,11767.98,0
930535,0,15981.99,0,15981.99,0
844642,0,35302.09,0,35302.09,0
292887,0,26396.15,0,26396.15,0
655128,0,7536.5,0,7536.5,0
164038,0,13198.07,0,13198.07,0
163057,0,29410.75,0,29410.75,0
327730,0,13198.07,0,13198.07,0
218187,0,25780.36,0,25780.36,0
697530,0,9806.65,0,9806.65,0
619053,0,15992.1,0,15992.1,0
431406,0,9806.65,0,9806.65,0
256801,0,13198.07,0,13198.07,0
571398,0,304842.43,0,304842.43,0
239669,0,13198.07,0,13198.07,0
530369,0,48252.01,0,48252.01,0
948187,0,9806.65,0,9806.65,0
571059,0,9190.86,0,9190.86,0
470539,0,68931.45,0,68931.45,0
791046,0,68931.45,0,68931.45,0
563971,0,27572.58,0,27572.58,0
823903,0,13786.29,0,13786.29,0
812504,0,9190.86,0,9190.86,0
597719,0,102937.63,0,102937.63,0
716513,0,19605.94,0,19605.94,0
378286,0,13198.07,0,13198.07,0
698982,0,9806.65,0,9806.65,0
624550,0,9806.65,0,9806.65,0
666076,0,11764.3,0,11764.3,0
474145,0,7619.22,0,7619.22,0
572929,0,13198.07,0,13198.07,0
640205,0,6433.6,0,6433.6,0
295930,0,6617.42,0,6617.42,0
823004,0,9806.65,0,9806.65,0
230536,0,8712.94,0,8712.94,0
936142,0,301000.66,0,301000.66,0
724639,0,57442.87,0,57442.87,0
119986,0,18381.72,0,18381.72,0
603370,0,3032.98,0,3032.98,0
532496,0,3032.98,0,3032.98,0
786954,0,9007.04,0,9007.04,0
416348,0,18381.72,0,18381.72,0
506364,0,652150.86,0,652150.86,0
311994,0,75824.59,0,75824.59,0
807442,0,91908.6,0,91908.6,0
235695,0,45954.3,0,45954.3,0
481294,0,64336.02,0,64336.02,0
292670,0,234366.92,0,234366.92,0
127739,0,13786.29,0,13786.29,0
869056,0,22977.15,0,22977.15,0
514471,0,18381.72,0,18381.72,0
903764,0,91908.6,0,91908.6,0
192068,0,43840.4,0,43840.4,0
109815,0,38601.61,0,38601.61,0
495339,0,413588.69,0,413588.69,0
752123,0,13786.29,0,13786.29,0
412775,0,22977.15,0,22977.15,0
249958,0,25274.86,0,25274.86,0
754919,0,27572.58,0,27572.58,0
829637,0,137862.9,0,137862.9,0
931429,0,91908.6,0,91908.6,0
565451,0,22977.15,0,22977.15,0
722334,0,27572.58,0,27572.58,0
630898,0,77254.74,0,77254.74,0
166536,0,212887.5,0,212887.5,0
469135,0,653122.95,0,653122.95,0
678786,0,635702.59,0,635702.59,0
284473,0,781465.69,0,781465.69,0
499389,0,638884.47,0,638884.47,0
541241,0,1939500,0,1939500,0
